Instrument ID,Debtor name,NACE,Outstanding nominal amount,Final maturity,Protection country,Protection NUTS3
INS-00001,Valencia Energy 33,35.11,116600000.00,2029-06-30,ES,ES523
INS-00002,Madrid Energy 24,35.11,115800000.00,2027-06-30,ES,ES300
INS-00003,Paris Energy 17,35.11,111900000.00,2035-06-30,FR,
INS-00004,Frankfurt Energy 68,35.11,100600000.00,2036-06-30,DE,DE712
INS-00005,Valencia Energy 87,35.11,90900000.00,2035-06-30,ES,
INS-00006,Valencia Energy 2,35.11,79800000.00,2028-06-30,ES,ES523
INS-00007,Valencia Energy 92,35.11,79700000.00,2028-06-30,ES,ES523
INS-00008,Valencia Manufacturing 14,25.50,78300000.00,2035-06-30,ES,ES523
INS-00009,Lisbon Energy 47,35.11,78200000.00,2040-06-30,PT,PT170
INS-00010,Lisbon Energy 11,35.11,76500000.00,2030-06-30,PT,PT170
INS-00011,Valencia Manufacturing 19,25.50,75200000.00,2036-06-30,ES,ES523
INS-00012,Valencia Manufacturing 21,25.50,71300000.00,2036-06-30,ES,ES523
INS-00013,Miami waterfront tower,L,68000000.00,2036-06-30,US,
INS-00014,Amsterdam Energy 12,35.11,64900000.00,2030-06-30,EU,NL329
INS-00015,EU Manufacturing 45,25.50,64000000.00,2027-06-30,EU,
INS-00016,Lisbon Energy 11,35.11,60900000.00,2029-06-30,PT,PT170
INS-00017,ES Energy 61,35.11,60800000.00,2029-06-30,ES,ES620
INS-00018,Yamal Arctic gas plant,B,60000000.00,2035-06-30,RU,
INS-00019,EU Manufacturing 29,25.50,58300000.00,2028-06-30,EU,
INS-00020,EU Energy 18,35.11,57600000.00,2036-06-30,EU,
INS-00021,Valencia Energy 47,35.11,56600000.00,2040-06-30,ES,ES523
INS-00022,EU Commercial 95,68.20,55200000.00,2037-06-30,EU,
INS-00023,New Orleans port terminal,H,55000000.00,2029-06-30,US,
INS-00024,Lisbon Manufacturing 99,25.50,53900000.00,2036-06-30,PT,PT170
INS-00025,Lyon Commercial 59,68.20,53200000.00,2032-06-30,FR,FRK26
INS-00026,EU Energy 58,35.11,52400000.00,2038-06-30,EU,HU331
INS-00027,Valencia Manufacturing 58,25.50,51400000.00,2027-06-30,ES,
INS-00028,Rotterdam port logistics,H,51000000.00,2034-06-30,NL,NL33C
INS-00029,Milan Energy 17,35.11,46900000.00,2033-06-30,IT,ITC4C
INS-00030,Valencia Manufacturing 5,25.50,46100000.00,2034-06-30,ES,ES523
INS-00031,Khumbu hydro facility,D,46000000.00,2036-06-30,NP,
INS-00032,Frankfurt Commercial 22,68.20,45700000.00,2032-06-30,DE,DE712
INS-00033,Lisbon Commercial 43,68.20,44500000.00,2039-06-30,PT,PT170
INS-00034,Paris Manufacturing 93,25.50,43900000.00,2039-06-30,FR,FR105
INS-00035,Jakarta industrial estate,C,42000000.00,2030-06-30,ID,
INS-00036,Frankfurt Logistics 71,52.10,41600000.00,2031-06-30,DE,DE712
INS-00037,Barcelona Energy 2,35.11,40900000.00,2032-06-30,ES,ES511
INS-00038,EU Manufacturing 86,25.50,39100000.00,2031-06-30,EU,RS223
INS-00039,ES Commercial 50,68.20,37200000.00,2028-06-30,ES,ES523
INS-00040,ES Commercial 73,68.20,35300000.00,2033-06-30,ES,ES242
INS-00041,Hamburg Logistics 74,52.10,35000000.00,2032-06-30,DE,DE600
INS-00042,Valencia Hospitality 75,55.10,33900000.00,2034-06-30,ES,ES523
INS-00043,ES Energy 60,35.11,33200000.00,2037-06-30,ES,ES613
INS-00044,Po Valley manufacturing park,C,33000000.00,2035-06-30,IT,
INS-00045,Valencia Hospitality 16,55.10,32700000.00,2040-06-30,ES,ES523
INS-00046,Valencia Manufacturing 58,25.50,32500000.00,2038-06-30,ES,ES523
INS-00047,EU Hospitality 7,55.10,32300000.00,2034-06-30,EU,HU333
INS-00048,Valencia Hospitality 3,55.10,32300000.00,2034-06-30,ES,ES523
INS-00049,Valencia Logistics 68,52.10,31200000.00,2028-06-30,ES,
INS-00050,Valencia Logistics 81,52.10,31100000.00,2034-06-30,ES,ES523
INS-00051,Valencia Energy 31,35.11,31100000.00,2028-06-30,ES,ES523
INS-00052,Mexico City logistics hub,H,31000000.00,2027-06-30,MX,
INS-00053,Valencia Hospitality 8,55.10,31000000.00,2031-06-30,ES,ES523
INS-00054,Lyon Manufacturing 32,25.50,30400000.00,2037-06-30,FR,FRK26
INS-00055,ES Logistics 83,52.10,29500000.00,2031-06-30,ES,ES511
INS-00056,Amsterdam Logistics 60,52.10,28600000.00,2037-06-30,EU,NL329
INS-00057,Valencia Logistics 12,52.10,28300000.00,2034-06-30,ES,ES523
INS-00058,EU Hospitality 55,55.10,27500000.00,2032-06-30,EU,
INS-00059,Chamonix alpine resort,I,27000000.00,2028-06-30,FR,FRK28
INS-00060,Valencia Logistics 75,52.10,26800000.00,2030-06-30,ES,ES523
