Geography,Sector,Gross carrying amount,of which sensitive to physical risk
BD,C,24000000.00,24000000.00
CN,A,21000000.00,21000000.00
DE,A,30300000.00,30300000.00
DE,D,100600000.00,100600000.00
DE,H,97400000.00,97400000.00
DE,L,48200000.00,48200000.00
ES,?,15500000.00,15500000.00
ES,A,123900000.00,123900000.00
ES,C,354800000.00,354800000.00
ES,D,754200000.00,754200000.00
ES,H,197500000.00,197500000.00
ES,I,285200000.00,285200000.00
ES,L,166600000.00,166600000.00
EU,A,7100000.00,7100000.00
EU,C,201400000.00,201400000.00
EU,D,174900000.00,117300000.00
EU,H,28600000.00,28600000.00
EU,I,85700000.00,85700000.00
EU,L,83800000.00,83800000.00
FR,A,5500000.00,5500000.00
FR,C,74300000.00,74300000.00
FR,D,111900000.00,111900000.00
FR,H,21200000.00,21200000.00
FR,I,66600000.00,66600000.00
FR,L,67200000.00,67200000.00
GT,I,10300000.00,10300000.00
GT,L,10400000.00,10400000.00
ID,C,42000000.00,0.00
IT,C,33000000.00,0.00
IT,D,46900000.00,46900000.00
IT,H,81700000.00,81700000.00
IT,I,23000000.00,23000000.00
IT,L,1500000.00,1500000.00
MX,H,31000000.00,0.00
NE,A,9000000.00,0.00
NL,?,18000000.00,0.00
NL,H,51000000.00,0.00
NO,A,14000000.00,0.00
NP,D,46000000.00,46000000.00
PR,I,6800000.00,6800000.00
PR,L,21000000.00,21000000.00
PT,C,67000000.00,67000000.00
PT,D,215600000.00,215600000.00
PT,I,38900000.00,38900000.00
PT,L,46400000.00,46400000.00
RU,B,60000000.00,60000000.00
US,A,18000000.00,18000000.00
US,H,55000000.00,0.00
US,L,68000000.00,0.00
