Geography,Sector,Gross carrying amount,of which sensitive to physical risk
BD,C,22080000.00,18768000.00
CN,A,19320000.00,16422000.00
DE,A,27876000.00,23694600.00
DE,D,92552000.00,78669200.00
DE,H,89608000.00,76166800.00
DE,L,44344000.00,37692400.00
ES,?,14260000.00,12121000.00
ES,A,113988000.00,96889800.00
ES,C,326416000.00,277453600.00
ES,D,693864000.00,589784400.00
ES,H,181700000.00,154445000.00
ES,I,262384000.00,223026400.00
ES,L,153272000.00,130281200.00
EU,A,6532000.00,5552200.00
EU,C,185288000.00,157494800.00
EU,D,160908000.00,91728600.00
EU,H,26312000.00,22365200.00
EU,I,78844000.00,67017400.00
EU,L,77096000.00,65531600.00
FR,A,5060000.00,4301000.00
FR,C,68356000.00,58102600.00
FR,D,102948000.00,87505800.00
FR,H,19504000.00,16578400.00
FR,I,61272000.00,52081200.00
FR,L,61824000.00,52550400.00
GT,I,9476000.00,8054600.00
GT,L,9568000.00,8132800.00
ID,C,38640000.00,0.00
IT,C,30360000.00,0.00
IT,D,43148000.00,36675800.00
IT,H,75164000.00,63889400.00
IT,I,21160000.00,17986000.00
IT,L,1380000.00,1173000.00
MX,H,28520000.00,0.00
NE,A,8280000.00,0.00
NL,?,16560000.00,0.00
NL,H,46920000.00,0.00
NO,A,12880000.00,0.00
NP,D,42320000.00,35972000.00
PR,I,6256000.00,5317600.00
PR,L,19320000.00,16422000.00
PT,C,61640000.00,52394000.00
PT,D,198352000.00,168599200.00
PT,I,35788000.00,30419800.00
PT,L,42688000.00,36284800.00
RU,B,55200000.00,46920000.00
US,A,16560000.00,14076000.00
US,H,50600000.00,0.00
US,L,62560000.00,0.00
