Position ID,Issuer name,Issuer sector (NACE),Position value,Maturity / disposal date,Asset country,Asset NUTS3
POS-00001,Iberia (wildfire zone) Electricity 555,35.11,88400000.00,2037-06-30,EU,CH061
POS-00002,Valencia (flood zone) Electricity 231,35.11,81700000.00,2039-06-30,ES,ES523
POS-00003,Helsinki Electricity 614,35.11,81200000.00,2040-06-30,EU,
POS-00004,Copenhagen Electricity 689,35.11,75600000.00,2037-06-30,EU,DK011
POS-00005,Iberia (wildfire zone) Electricity 479,35.11,61900000.00,2029-06-30,EU,RS223
POS-00006,Zurich Real 738,68.20,59500000.00,2037-06-30,EU,CH040
POS-00007,Helsinki Real 827,68.20,54400000.00,2029-06-30,EU,FI1B1
POS-00008,Valencia (flood zone) Real 462,68.20,52700000.00,2028-06-30,EU,
POS-00009,Vienna Electricity 601,35.11,49900000.00,2030-06-30,EU,AT130
POS-00010,Iberia (wildfire zone) Real 118,68.20,46400000.00,2038-06-30,EU,
POS-00011,Amsterdam Real 641,68.20,45200000.00,2033-06-30,EU,NL329
POS-00012,Frankfurt Software 373,62.01,44400000.00,2037-06-30,EU,DE713
POS-00013,Amsterdam Electricity 858,35.11,43200000.00,2027-06-30,EU,NL329
POS-00014,Valencia (flood zone) Real 631,68.20,42400000.00,2040-06-30,ES,ES523
POS-00015,Iberia (wildfire zone) Software 560,62.01,40800000.00,2040-06-30,ES,ES431
POS-00016,Iberia (wildfire zone) Real 912,68.20,38400000.00,2039-06-30,ES,ES618
POS-00017,Valencia (flood zone) Real 18,68.20,35900000.00,2034-06-30,ES,ES523
POS-00018,Oslo Manufacturing 351,25.50,28900000.00,2029-06-30,EU,NO081
POS-00019,Zurich Software 351,62.01,28400000.00,2031-06-30,EU,CH040
POS-00020,Valencia (flood zone) Logistics 896,52.10,27600000.00,2030-06-30,ES,ES523
POS-00021,Helsinki Electricity 663,35.11,27400000.00,2039-06-30,EU,FI1B1
POS-00022,Oslo Retail 708,47.19,27200000.00,2033-06-30,EU,NO081
POS-00023,Helsinki Retail 890,47.19,27000000.00,2033-06-30,EU,FI1B1
POS-00024,Copenhagen Logistics 518,52.10,25900000.00,2037-06-30,EU,DK011
POS-00025,Iberia (wildfire zone) Retail 821,47.19,25200000.00,2028-06-30,EU,
POS-00026,Valencia (flood zone) Hospitality 704,55.10,24700000.00,2036-06-30,ES,ES523
POS-00027,Amsterdam Retail 894,47.19,24700000.00,2031-06-30,EU,NL329
POS-00028,Amsterdam Logistics 521,52.10,24500000.00,2035-06-30,EU,NL329
POS-00029,Valencia (flood zone) Logistics 291,52.10,23900000.00,2029-06-30,ES,ES523
POS-00030,Iberia (wildfire zone) Hospitality 42,55.10,23700000.00,2038-06-30,ES,ES523
POS-00031,Valencia (flood zone) Software 253,62.01,20900000.00,2029-06-30,ES,ES523
POS-00032,Vienna Electricity 105,35.11,20800000.00,2029-06-30,EU,AT130
POS-00033,Zurich Logistics 965,52.10,20700000.00,2031-06-30,EU,CH040
POS-00034,Oslo Software 609,62.01,20000000.00,2031-06-30,EU,NO081
POS-00035,Valencia (flood zone) Hospitality 675,55.10,18800000.00,2036-06-30,EU,
