Geography,Sector,Position value,of which in physical-risk zones
ES,A,32200000.00,32200000.00
ES,C,25300000.00,25300000.00
ES,D,81700000.00,81700000.00
ES,G,24800000.00,10900000.00
ES,H,57800000.00,57800000.00
ES,I,54600000.00,54600000.00
ES,J,75500000.00,75500000.00
ES,L,149100000.00,149100000.00
EU,A,48500000.00,5400000.00
EU,C,77800000.00,42800000.00
EU,D,459600000.00,132600000.00
EU,G,121200000.00,27200000.00
EU,H,112800000.00,0.00
EU,I,59800000.00,42400000.00
EU,J,104700000.00,31900000.00
EU,L,258200000.00,99100000.00
