Plot ID,Supplier / plot name,Commodity,Annual sourcing spend,Contract end,Origin country,Latitude,Longitude
PLOT-00001,Barry Callebaut - Western Cocoa Plot 008,Cocoa,627000.00,2029-12-31,GH,5.661263,-2.700859
PLOT-00002,LDC - Braila Sunflower Plot 016,Sunflower,387000.00,2029-12-31,RO,44.041893,27.439938
PLOT-00003,Barry Callebaut - Centre Cocoa Plot 057,Cocoa,624000.00,2032-12-31,CM,3.852382,11.453731
PLOT-00004,Treasury Estates - Barossa Wine grapes Plot 029,Wine grapes,510000.00,2032-12-31,AU,-34.393881,138.367339
PLOT-00005,Soufflet - Wheatbelt Wheat Plot 032,Wheat,1162000.00,2027-12-31,AU,-31.167782,117.598180
PLOT-00006,COFCO - Parana Soybean Plot 042,Soybean,1985000.00,2032-12-31,BR,-24.769112,-51.137650
PLOT-00007,RPAC - Sunraysia Almonds Plot 019,Almonds,959000.00,2031-12-31,AU,-34.048981,142.020288
PLOT-00008,COFCO - Iowa Maize Plot 070,Maize,1174000.00,2032-12-31,US,41.904294,-93.307986
PLOT-00009,ADM Milling - Beauce Wheat Plot 059,Wheat,2140000.00,2032-12-31,FR,48.069073,2.054458
PLOT-00010,EID Parry - Sao Paulo Cane sugar Plot 013,Cane sugar,133000.00,2031-12-31,BR,-21.939134,-48.419814
PLOT-00011,ADM - Santa Fe Soybean Plot 039,Soybean,2891000.00,2028-12-31,AR,,
PLOT-00012,Tereos - Flevoland Sugar beet Plot 024,Sugar beet,277000.00,2032-12-31,NL,52.624159,5.744058
PLOT-00013,Boortmalt - Bavaria Barley Plot 029,Barley,547000.00,2032-12-31,DE,48.785259,11.952278
PLOT-00014,Cutrale - Nile Delta Citrus Plot 046,Citrus,682000.00,2031-12-31,EG,30.235082,30.582857
PLOT-00015,LDC Rice - Arkansas Rice Plot 029,Rice,1413000.00,2032-12-31,US,35.206069,-91.932017
PLOT-00016,LDC Coffee - Dak Lak Coffee Plot 015,Coffee,660000.00,2029-12-31,VN,12.963687,108.170145
PLOT-00017,Cemoi - Ashanti Cocoa Plot 007,Cocoa,770000.00,2031-12-31,GH,6.335089,-2.104342
PLOT-00018,Terra Creta - Sfax Olive oil Plot 036,Olive oil,687000.00,2030-12-31,TN,35.212036,9.816766
PLOT-00019,ECOM - Comayagua Coffee Plot 052,Coffee,382000.00,2031-12-31,HN,14.138659,-88.035638
PLOT-00020,De Cecco - Konya Durum wheat Plot 026,Durum wheat,1126000.00,2030-12-31,TR,37.229167,35.275443
PLOT-00021,Sucafina - Comayagua Coffee Plot 066,Coffee,1053000.00,2029-12-31,HN,14.198365,-88.362733
PLOT-00022,Riceland - Vercelli Rice Plot 039,Rice,1486000.00,2029-12-31,IT,,
PLOT-00023,GrainCorp Malt - East Anglia Barley Plot 022,Barley,1027000.00,2032-12-31,GB,52.520130,1.398044
PLOT-00024,Kernel - Nouvelle-Aquitaine Sunflower Plot 010,Sunflower,758000.00,2030-12-31,FR,46.043943,-0.035219
PLOT-00025,AMC Group - Florida Citrus Plot 041,Citrus,848000.00,2027-12-31,US,27.138194,-81.241893
PLOT-00026,Cargill Grains - Kansas Wheat Plot 018,Wheat,1466000.00,2028-12-31,US,38.594771,-98.182237
PLOT-00027,Cargill Cocoa - Guayas Cocoa Plot 081,Cocoa,574000.00,2028-12-31,EC,-1.709576,-79.922979
PLOT-00028,Bunge - Mato Grosso Soybean Plot 018,Soybean,590000.00,2031-12-31,BR,-12.622597,-56.048146
PLOT-00029,Soufflet - Beauce Wheat Plot 048,Wheat,1180000.00,2027-12-31,FR,48.701987,2.127747
PLOT-00030,LDC - Iowa Maize Plot 038,Maize,1546000.00,2029-12-31,US,41.877353,-93.558384
PLOT-00031,Borges - Sunraysia Almonds Plot 012,Almonds,1074000.00,2031-12-31,AU,-34.624994,142.164095
PLOT-00032,Cargill Grains - Parana Soybean Plot 035,Soybean,2200000.00,2031-12-31,BR,-24.635662,-51.170104
PLOT-00033,GrainCorp - Beauce Wheat Plot 067,Wheat,256000.00,2028-12-31,FR,47.805846,1.684601
PLOT-00034,Kernel - La Pampa Sunflower Plot 024,Sunflower,962000.00,2029-12-31,AR,-35.930632,-63.926839
PLOT-00035,LDC - Buenos Aires Maize Plot 067,Maize,1363000.00,2029-12-31,AR,-33.423047,-62.116298
PLOT-00036,ADM Milling - Beauce Wheat Plot 019,Wheat,2189000.00,2027-12-31,FR,47.937178,1.813059
PLOT-00037,Mitr Phol - Sao Paulo Cane sugar Plot 051,Cane sugar,1808000.00,2031-12-31,BR,-21.568745,-48.465732
PLOT-00038,Olam Cocoa - San-Pedro Cocoa Plot 002,Cocoa,174000.00,2029-12-31,CI,5.230649,-6.971494
PLOT-00039,Sucafina - Sao Paulo Coffee Plot 001,Coffee,869000.00,2029-12-31,BR,,
PLOT-00040,Cargill - La Pampa Sunflower Plot 042,Sunflower,1147000.00,2032-12-31,AR,,
PLOT-00041,Bunge - Iowa Soybean Plot 009,Soybean,1523000.00,2032-12-31,US,42.427616,-93.762869
PLOT-00042,Sovena - Peloponnese Olive oil Plot 008,Olive oil,1203000.00,2028-12-31,GR,,
PLOT-00043,ADM - Mato Grosso Maize Plot 016,Maize,830000.00,2027-12-31,BR,-13.560506,-55.364563
PLOT-00044,Touton - Western Cocoa Plot 054,Cocoa,832000.00,2032-12-31,GH,5.900317,-2.090355
PLOT-00045,ECOM - Huila Coffee Plot 075,Coffee,417000.00,2027-12-31,CO,2.749477,-75.634062
