Origin country,Commodity,Annual sourcing spend,of which in physical-risk zones
AR,Maize,22518000.00,0.00
AR,Soybean,46765000.00,2694000.00
AR,Sunflower,8612000.00,0.00
AU,Almonds,12778000.00,2096000.00
AU,Barley,7429000.00,674000.00
AU,Cane sugar,9789000.00,3295000.00
AU,Wheat,18847000.00,0.00
AU,Wine grapes,6301000.00,0.00
BR,Cane sugar,16930000.00,0.00
BR,Citrus,4471000.00,0.00
BR,Coffee,14655000.00,0.00
BR,Maize,14294000.00,1373000.00
BR,Soybean,50473000.00,0.00
CA,Barley,1829000.00,0.00
CA,Durum wheat,5029000.00,547000.00
CA,Wheat,21226000.00,853000.00
CI,Cocoa,14325000.00,0.00
CL,Wine grapes,383000.00,0.00
CM,Cocoa,3534000.00,248000.00
CO,Coffee,12637000.00,0.00
DE,Barley,2931000.00,0.00
DE,Sugar beet,2167000.00,0.00
EC,Cocoa,3050000.00,561000.00
EG,Citrus,13959000.00,643000.00
ES,Almonds,6579000.00,0.00
ES,Citrus,10811000.00,1083000.00
ES,Olive oil,5452000.00,0.00
ES,Sunflower,4206000.00,0.00
ES,Wine grapes,5925000.00,0.00
ET,Coffee,9376000.00,0.00
FR,Barley,3617000.00,0.00
FR,Maize,20008000.00,1806000.00
FR,Sugar beet,4475000.00,0.00
FR,Sunflower,8690000.00,0.00
FR,Wheat,20304000.00,0.00
FR,Wine grapes,4111000.00,0.00
GB,Barley,2570000.00,0.00
GB,Sugar beet,2172000.00,204000.00
GH,Cocoa,21756000.00,1003000.00
GR,Olive oil,3435000.00,0.00
HN,Coffee,10597000.00,0.00
IN,Cane sugar,44128000.00,5925000.00
IN,Rice,7429000.00,0.00
IT,Durum wheat,3297000.00,0.00
IT,Olive oil,3316000.00,1343000.00
IT,Rice,6667000.00,0.00
IT,Wine grapes,6065000.00,0.00
MA,Durum wheat,3836000.00,0.00
NG,Cocoa,8745000.00,442000.00
NL,Sugar beet,1550000.00,0.00
NL,Wheat,10000.00,0.00
PT,Olive oil,7343000.00,0.00
RO,Sunflower,8804000.00,1026000.00
TH,Cane sugar,21239000.00,0.00
TH,Rice,7430000.00,0.00
TN,Olive oil,7459000.00,1169000.00
TR,Durum wheat,3782000.00,0.00
UA,Maize,5383000.00,1178000.00
UA,Sunflower,9686000.00,0.00
UA,Wheat,9850000.00,3211000.00
US,Almonds,11310000.00,1815000.00
US,Citrus,4855000.00,0.00
US,Durum wheat,4550000.00,0.00
US,Maize,29256000.00,2186000.00
US,Rice,6789000.00,3005000.00
US,Soybean,47148000.00,0.00
US,Sugar beet,4942000.00,0.00
US,Wheat,16460000.00,0.00
US,Wine grapes,3949000.00,0.00
VN,Coffee,8611000.00,1138000.00
VN,Rice,4739000.00,3742000.00
XX,Coffee,930000.00,0.00
XX,Maize,230000.00,0.00
XX,Wheat,10000.00,0.00
ZA,Citrus,5242000.00,0.00
ZZ,Wheat,210000.00,0.00
