Property ID,Property name,Property type,Property value,Lease expiry,Property country,Property NUTS3
PROP-00001,Lyon Office 78,Office,68500000.00,2027-12-31,EU,FRK26
PROP-00002,Valencia (flood zone) Office 26,Office,64900000.00,2029-12-31,ES,ES523
PROP-00003,Valencia (flood zone) Office 86,Office,64000000.00,2029-12-31,ES,ES523
PROP-00004,Lyon Office 37,Office,62700000.00,2031-12-31,EU,FRK26
PROP-00005,Antwerp Office 18,Office,62400000.00,2027-12-31,EU,BE211
PROP-00006,Valencia (flood zone) Office 71,Office,60800000.00,2030-12-31,EU,
PROP-00007,Bologna Logistics 78,Logistics,54700000.00,2027-12-31,EU,ITH55
PROP-00008,Valencia (flood zone) Logistics 97,Logistics,53300000.00,2029-12-31,ES,
PROP-00009,Iberia (wildfire zone) Logistics 37,Logistics,51700000.00,2031-12-31,ES,ES416
PROP-00010,Iberia (wildfire zone) Logistics 35,Logistics,50400000.00,2031-12-31,ES,ES613
PROP-00011,Valencia (flood zone) Office 40,Office,50100000.00,2028-12-31,ES,ES523
PROP-00012,Zaragoza Logistics 23,Logistics,48500000.00,2029-12-31,ES,ES243
PROP-00013,Iberia (wildfire zone) Office 74,Office,44600000.00,2027-12-31,EU,
PROP-00014,Rotterdam Office 12,Office,42700000.00,2032-12-31,EU,NL33C
PROP-00015,Lyon Office 16,Office,42500000.00,2032-12-31,EU,FRK26
PROP-00016,Lyon Logistics 85,Logistics,37200000.00,2030-12-31,EU,FRK26
PROP-00017,Zaragoza Logistics 66,Logistics,36600000.00,2028-12-31,ES,ES243
PROP-00018,Iberia (wildfire zone) Office 96,Office,34900000.00,2029-12-31,EU,
PROP-00019,Iberia (wildfire zone) Logistics 72,Logistics,29700000.00,2030-12-31,EU,
PROP-00020,Duisburg Logistics 27,Logistics,29200000.00,2029-12-31,EU,DEA12
PROP-00021,Valencia (flood zone) Logistics 15,Logistics,27600000.00,2031-12-31,ES,ES523
PROP-00022,Iberia (wildfire zone) Office 9,Office,25600000.00,2028-12-31,ES,PT184
PROP-00023,Lyon Office 65,Office,25200000.00,2030-12-31,EU,FRK26
PROP-00024,Valencia (flood zone) Logistics 45,Logistics,25100000.00,2030-12-31,ES,
PROP-00025,Zaragoza Retail 48,Retail,25000000.00,2027-12-31,ES,ES243
