plot_name,latitude,longitude,commodity,annual_spend_eur,plot_geojson,plot_area_ha,region,country,irrigation_status
Barry Callebaut - Ashanti Cocoa Plot 001,6.476806,-1.526819,Cocoa,546000,"{""type"":""Polygon"",""coordinates"":[[[-1.526819,6.476806],[-1.521907,6.476806],[-1.521907,6.483538],[-1.526819,6.483538],[-1.526819,6.476806]]]}",,Ashanti,GH,rain_fed
Olam Cocoa - San-Pedro Cocoa Plot 002,5.230649,-6.971494,Cocoa,174000,,3.46,San-Pedro,CI,mixed
Cargill Cocoa - Daloa Cocoa Plot 003,6.588067,-6.028878,Cocoa,108000,,1.89,Daloa,CI,rain_fed
Barry Callebaut - Western Cocoa Plot 004,5.235099,-2.055255,Cocoa,495000,,1.55,Western,GH,rain_fed
Cargill Cocoa - Centre Cocoa Plot 005,4.380459,11.723203,Cocoa,81000,,3.49,Centre,CM,rain_fed
Cemoi - Ondo Cocoa Plot 006,7.489252,5.14373,Cocoa,448000,,2.04,Ondo,NG,rain_fed
Cemoi - Ashanti Cocoa Plot 007,6.332283,-2.107469,Cocoa,770000,"{""type"":""Polygon"",""coordinates"":[[[-2.107469,6.332283],[-2.101215,6.332283],[-2.101215,6.337894],[-2.107469,6.337894],[-2.107469,6.332283]]]}",,Ashanti,GH,rain_fed
Barry Callebaut - Western Cocoa Plot 008,5.661263,-2.700859,Cocoa,627000,,1.94,Western,GH,rain_fed
Olam Cocoa - Ondo Cocoa Plot 009,6.664984,5.10561,Cocoa,137000,,0.41,Ondo,NG,rain_fed
Olam Cocoa - San-Pedro Cocoa Plot 010,4.920227,-6.942875,Cocoa,739000,,3.55,San-Pedro,CI,rain_fed
Touton - Daloa Cocoa Plot 011,6.496982,-6.112524,Cocoa,706000,,1.55,Daloa,CI,mixed
Cemoi - San-Pedro Cocoa Plot 012,4.930582,-6.467876,Cocoa,41000,,1.86,San-Pedro,CI,rain_fed
Cemoi - Daloa Cocoa Plot 013,7.025733,-6.605516,Cocoa,102000,"{""type"":""Polygon"",""coordinates"":[[[-6.605516,7.025733],[-6.602819,7.025733],[-6.602819,7.029318],[-6.605516,7.029318],[-6.605516,7.025733]]]}",,Daloa,CI,rain_fed
Cargill Cocoa - San-Pedro Cocoa Plot 014,4.703818,-6.909906,Cocoa,83000,,3.88,San-Pedro,CI,rain_fed
