name,site_type,address,latitude,longitude,country,annual_value_eur,annual_throughput_eur
Oranje Foods Global HQ - Rotterdam,hq,"128 Portside Road, Rotterdam, NL",51.8902,4.516249,NL,664800000,0
Oranje Foods Processing Plant - Marseille 1,factory,"224 Distribution Blvd, Marseille, FR",43.260541,5.40755,FR,663400000,355000000
Oranje Foods Processing Plant - Santos 2,factory,"214 Commerce Park, Santos, BR",-23.975038,-46.391716,BR,980500000,1405000000
Oranje Foods Processing Plant - Lyon 3,factory,"249 Havenweg, Lyon, FR",45.817568,4.791942,FR,750900000,1921200000
Oranje Foods Processing Plant - Bremen 4,factory,"40 Fabrieksstraat, Bremen, DE",53.047404,8.771836,DE,1193400000,731000000
Oranje Foods Processing Plant - Rotterdam 5,factory,"167 Industrieweg, Rotterdam, NL",51.935874,4.482006,NL,774800000,1479400000
Oranje Foods Processing Plant - Poznan 6,factory,"416 Zona Industrial, Poznan, PL",52.430319,16.906151,PL,183200000,458200000
Oranje Foods Processing Plant - Barcelona 7,factory,"97 Distribution Blvd, Barcelona, ES",41.433526,2.18039,ES,1199200000,2657300000
Oranje Foods Processing Plant - Manchester 8,factory,"287 Parc Logistique, Manchester, GB",53.533362,-2.192925,GB,1338200000,962400000
Oranje Foods Processing Plant - Atlanta 9,factory,"50 Portside Road, Atlanta, US",33.808155,-84.418509,US,351800000,1467400000
Oranje Foods Processing Plant - Shanghai 10,factory,"157 Commerce Park, Shanghai, CN",31.28474,121.443393,CN,1254900000,2958200000
Oranje Foods Processing Plant - Guadalajara 11,factory,"288 Fabrieksstraat, Guadalajara, MX",20.613897,-103.313974,MX,1461200000,865000000
Oranje Foods Processing Plant - Warsaw 12,factory,"79 Fabrieksstraat, Warsaw, PL",52.251897,20.983564,PL,894500000,2862800000
Oranje Foods Processing Plant - Accra 13,factory,"478 Gongye Road, Accra, GH",5.649322,-0.146622,GH,628800000,2299300000
Oranje Foods Processing Plant - Ghent 14,factory,"384 Logistiekpark, Ghent, BE",51.027907,3.710174,BE,181300000,1637800000
Oranje Foods Processing Plant - Buenos Aires 15,factory,"247 Rue de l'Industrie, Buenos Aires, AR",-34.594286,-58.3401,AR,1450500000,1365700000
Oranje Foods Processing Plant - Tilburg 16,factory,"455 Industrieweg, Tilburg, NL",51.606432,5.106134,NL,267600000,811600000
Oranje Foods Processing Plant - London 17,factory,"189 Dock Road, London, GB",51.45227,-0.165764,GB,728200000,879100000
Oranje Foods Processing Plant - Manchester 18,factory,"165 Gongye Road, Manchester, GB",53.523439,-2.282523,GB,595800000,1052800000
Oranje Foods Processing Plant - Utrecht 19,factory,"271 Industrial Estate, Utrecht, NL",52.133892,5.162474,NL,562000000,2796300000
Oranje Foods Processing Plant - Dubai 20,factory,"131 Gongye Road, Dubai, AE",25.253499,55.271327,AE,408900000,2287100000
Oranje Foods Processing Plant - Sao Paulo 21,factory,"321 Logistiekpark, Sao Paulo, BR",-23.563159,-46.575098,BR,201700000,2921900000
Oranje Foods Processing Plant - Buenos Aires 22,factory,"240 Industrial Estate, Buenos Aires, AR",-34.618474,-58.359016,AR,1091400000,2643600000
Oranje Foods Processing Plant - Frankfurt 23,factory,"385 Dock Road, Frankfurt, DE",50.066288,8.6428,DE,182500000,1654400000
Oranje Foods Processing Plant - Amsterdam 24,factory,"148 Rue de l'Industrie, Amsterdam, NL",52.422291,4.895008,NL,798300000,488700000
Oranje Foods Processing Plant - Mumbai 25,factory,"60 Fabrieksstraat, Mumbai, IN",19.042058,72.906308,IN,479000000,936700000
Oranje Foods Processing Plant - Singapore 26,factory,"88 Havenweg, Singapore, SG",1.33705,103.855649,SG,592100000,505600000
Oranje Foods Processing Plant - Vienna 27,factory,"327 Commerce Park, Vienna, AT",48.181805,16.425188,AT,477000000,2041800000
Oranje Foods Processing Plant - Toronto 28,factory,"92 Fabrieksstraat, Toronto, CA",43.690069,-79.331234,CA,187600000,646800000
Oranje Foods Processing Plant - Chicago 29,factory,"31 Distribution Blvd, Chicago, US",41.932252,-87.661441,US,451700000,2585700000
Oranje Foods Processing Plant - Toronto 30,factory,"64 Gongye Road, Toronto, CA",43.643076,-79.386684,CA,913100000,1734300000
Oranje Foods Processing Plant - Athens 31,factory,"84 Commerce Park, Athens, GR",37.960675,23.673871,GR,458000000,1538800000
Oranje Foods Processing Plant - Prague 32,factory,"252 Rue de l'Industrie, Prague, CZ",50.05046,14.42116,CZ,1484200000,1271500000
Oranje Foods Processing Plant - Tilburg 33,factory,"263 Commerce Park, Tilburg, NL",51.515571,5.062871,NL,397300000,1027800000
Oranje Foods Processing Plant - Shanghai 34,factory,"80 Commerce Park, Shanghai, CN",31.188993,121.504955,CN,593600000,2257000000
Oranje Foods Processing Plant - Istanbul 35,factory,"36 Via Industriale, Istanbul, TR",40.975476,28.993369,TR,1098400000,369400000
Oranje Foods Processing Plant - Bangkok 36,factory,"199 Industrieweg, Bangkok, TH",13.758806,100.448888,TH,1069700000,1108200000
Oranje Foods Processing Plant - Buenos Aires 37,factory,"161 Hafenstrasse, Buenos Aires, AR",-34.571514,-58.355936,AR,329100000,914700000
Oranje Foods Processing Plant - Jakarta 38,factory,"334 Fabrieksstraat, Jakarta, ID",-6.239109,106.851416,ID,180700000,795600000
Oranje Foods Processing Plant - Prague 39,factory,"58 Via Industriale, Prague, CZ",50.13009,14.471078,CZ,993400000,359100000
Oranje Foods Processing Plant - Casablanca 40,factory,"479 Industrial Estate, Casablanca, MA",33.616516,-7.623969,MA,1357100000,1979800000
Oranje Foods Processing Plant - Istanbul 41,factory,"155 Commerce Park, Istanbul, TR",41.022704,29.015739,TR,277800000,382600000
Oranje Foods Processing Plant - Bremen 42,factory,"155 Industrial Estate, Bremen, DE",53.124387,8.75661,DE,555500000,1934700000
Oranje Foods Processing Plant - Dublin 43,factory,"200 Rue de l'Industrie, Dublin, IE",53.367229,-6.210996,IE,864400000,557200000
Oranje Foods Processing Plant - Lagos 44,factory,"282 Fabrieksstraat, Lagos, NG",6.548752,3.361626,NG,800200000,367500000
Oranje Foods Processing Plant - Lisbon 45,factory,"423 Industrieweg, Lisbon, PT",38.767894,-9.172676,PT,429200000,2129400000
Oranje Foods Processing Plant - Istanbul 46,factory,"124 Fabrieksstraat, Istanbul, TR",41.008734,28.940445,TR,445400000,458300000
Oranje Foods Distribution Centre - Bogota 1,distribution_centre,"201 Industrieweg, Bogota, CO",4.714074,-74.052052,CO,179400000,373700000
Oranje Foods Distribution Centre - Casablanca 2,distribution_centre,"182 Via Industriale, Casablanca, MA",33.537201,-7.55133,MA,41700000,367600000
Oranje Foods Distribution Centre - Cape Town 3,distribution_centre,"272 Hafenstrasse, Cape Town, ZA",-33.914106,18.423669,ZA,49400000,151300000
Oranje Foods Distribution Centre - Lisbon 4,distribution_centre,"195 Fabrieksstraat, Lisbon, PT",38.693802,-9.18247,PT,147400000,350500000
Oranje Foods Distribution Centre - Jakarta 5,distribution_centre,"30 Zona Industrial, Jakarta, ID",-6.201525,106.799814,ID,85400000,1003700000
