region,ssp,period,dtas_mean_c,dtas_std_c,dpr_frac_mean,dpr_frac_std,n_models
algeria_wheat,ssp126,2021-2040,0.956,0.457,-0.1229,0.0218,3
algeria_wheat,ssp126,2041-2060,1.441,0.61,-0.1369,0.0361,3
algeria_wheat,ssp126,2081-2100,1.512,0.795,-0.1278,0.1052,3
algeria_wheat,ssp245,2021-2040,1.053,0.379,-0.112,0.039,3
algeria_wheat,ssp245,2041-2060,1.818,0.533,-0.2274,0.033,3
algeria_wheat,ssp245,2081-2100,2.857,0.736,-0.1749,0.0981,3
algeria_wheat,ssp585,2021-2040,1.047,0.355,-0.0999,0.0257,3
algeria_wheat,ssp585,2041-2060,2.24,0.527,-0.2313,0.0693,3
algeria_wheat,ssp585,2081-2100,5.57,1.102,-0.4402,0.1152,3
australia_wheat,ssp126,2021-2040,0.573,0.132,0.0117,0.0254,3
australia_wheat,ssp126,2041-2060,0.913,0.253,-0.0108,0.022,3
australia_wheat,ssp126,2081-2100,1.042,0.388,-0.0324,0.0064,3
australia_wheat,ssp245,2021-2040,0.696,0.085,-0.0472,0.0826,3
australia_wheat,ssp245,2041-2060,1.313,0.255,-0.0409,0.0316,3
australia_wheat,ssp245,2081-2100,2.011,0.407,-0.101,0.0327,3
australia_wheat,ssp585,2021-2040,0.732,0.112,0.0167,0.014,3
australia_wheat,ssp585,2041-2060,1.52,0.209,-0.0603,0.0483,3
australia_wheat,ssp585,2081-2100,4.078,0.668,-0.1623,0.0678,3
iran_wheat,ssp126,2021-2040,1.039,0.306,0.0042,0.0578,3
iran_wheat,ssp126,2041-2060,1.456,0.532,0.1007,0.1494,3
iran_wheat,ssp126,2081-2100,1.67,0.605,0.0244,0.0825,3
iran_wheat,ssp245,2021-2040,1.011,0.27,0.0251,0.0566,3
iran_wheat,ssp245,2041-2060,1.944,0.437,-0.0286,0.1236,3
iran_wheat,ssp245,2081-2100,3.159,0.588,0.0072,0.1623,3
iran_wheat,ssp585,2021-2040,1.077,0.254,0.0294,0.0856,3
iran_wheat,ssp585,2041-2060,2.434,0.612,0.0203,0.1015,3
iran_wheat,ssp585,2081-2100,5.905,1.16,0.0796,0.2198,3
morocco_wheat,ssp126,2021-2040,0.881,0.25,-0.0693,0.0341,3
morocco_wheat,ssp126,2041-2060,1.361,0.485,-0.1278,0.0652,3
morocco_wheat,ssp126,2081-2100,1.425,0.726,-0.0944,0.0826,3
morocco_wheat,ssp245,2021-2040,0.926,0.35,-0.1008,0.0409,3
morocco_wheat,ssp245,2041-2060,1.702,0.467,-0.181,0.0826,3
morocco_wheat,ssp245,2081-2100,2.599,0.659,-0.185,0.1679,3
morocco_wheat,ssp585,2021-2040,0.921,0.321,-0.0684,0.098,3
morocco_wheat,ssp585,2041-2060,1.934,0.443,-0.1998,0.0955,3
morocco_wheat,ssp585,2081-2100,4.972,0.89,-0.5077,0.0779,3
portugal_alentejo,ssp126,2021-2040,0.891,0.268,-0.0805,0.0987,3
portugal_alentejo,ssp126,2041-2060,1.361,0.435,-0.1143,0.0812,3
portugal_alentejo,ssp126,2081-2100,1.357,0.723,-0.0539,0.1157,3
portugal_alentejo,ssp245,2021-2040,0.85,0.358,-0.0548,0.0832,3
portugal_alentejo,ssp245,2041-2060,1.672,0.457,-0.1228,0.1068,3
portugal_alentejo,ssp245,2081-2100,2.478,0.578,-0.1183,0.1647,3
portugal_alentejo,ssp585,2021-2040,0.798,0.398,-0.0842,0.1655,3
portugal_alentejo,ssp585,2041-2060,1.767,0.403,-0.1569,0.1056,3
portugal_alentejo,ssp585,2081-2100,4.778,0.732,-0.3925,0.1262,3
spain_beet,ssp126,2021-2040,0.978,0.33,-0.0363,0.0238,3
spain_beet,ssp126,2041-2060,1.521,0.507,-0.0361,0.0422,3
spain_beet,ssp126,2081-2100,1.621,0.768,-0.049,0.0414,3
spain_beet,ssp245,2021-2040,0.957,0.367,-0.0151,0.087,3
spain_beet,ssp245,2041-2060,1.84,0.505,-0.0825,0.0247,3
spain_beet,ssp245,2081-2100,2.746,0.685,-0.0857,0.0803,3
spain_beet,ssp585,2021-2040,0.927,0.388,-0.0596,0.0352,3
spain_beet,ssp585,2041-2060,1.985,0.542,-0.0721,0.0077,3
spain_beet,ssp585,2081-2100,5.396,1.014,-0.2444,0.0477,3
spain_citrus,ssp126,2021-2040,0.793,0.464,-0.1115,0.0373,3
spain_citrus,ssp126,2041-2060,1.288,0.705,-0.17,0.0359,3
spain_citrus,ssp126,2081-2100,1.419,0.847,-0.1191,0.1063,3
spain_citrus,ssp245,2021-2040,0.876,0.448,-0.1271,0.0956,3
spain_citrus,ssp245,2041-2060,1.54,0.647,-0.123,0.0713,3
spain_citrus,ssp245,2081-2100,2.413,0.843,-0.2239,0.1589,3
spain_citrus,ssp585,2021-2040,0.871,0.45,-0.1379,0.0459,3
spain_citrus,ssp585,2041-2060,1.828,0.62,-0.2365,0.1566,3
spain_citrus,ssp585,2081-2100,4.6,1.251,-0.4083,0.1597,3
spain_extremadura,ssp126,2021-2040,1.027,0.325,-0.0828,0.0815,3
spain_extremadura,ssp126,2041-2060,1.551,0.485,-0.0931,0.0865,3
spain_extremadura,ssp126,2081-2100,1.551,0.79,-0.0464,0.1083,3
spain_extremadura,ssp245,2021-2040,0.984,0.344,-0.0398,0.1022,3
spain_extremadura,ssp245,2041-2060,1.894,0.51,-0.1171,0.1049,3
spain_extremadura,ssp245,2081-2100,2.806,0.624,-0.1222,0.1734,3
spain_extremadura,ssp585,2021-2040,0.994,0.439,-0.1029,0.1338,3
spain_extremadura,ssp585,2041-2060,2.076,0.488,-0.1445,0.1105,3
spain_extremadura,ssp585,2081-2100,5.549,0.817,-0.3841,0.1412,3
spain_olive,ssp126,2021-2040,0.95,0.356,-0.0979,0.0593,3
spain_olive,ssp126,2041-2060,1.452,0.526,-0.1219,0.0862,3
spain_olive,ssp126,2081-2100,1.492,0.8,-0.0655,0.1024,3
spain_olive,ssp245,2021-2040,0.954,0.355,-0.0665,0.1135,3
spain_olive,ssp245,2041-2060,1.773,0.532,-0.1255,0.1064,3
spain_olive,ssp245,2081-2100,2.672,0.683,-0.1353,0.1803,3
spain_olive,ssp585,2021-2040,0.959,0.407,-0.1092,0.1143,3
spain_olive,ssp585,2041-2060,1.986,0.492,-0.1664,0.1226,3
spain_olive,ssp585,2081-2100,5.182,0.878,-0.408,0.1351,3
syria_wheat,ssp126,2021-2040,1.022,0.383,0.0187,0.0403,3
syria_wheat,ssp126,2041-2060,1.519,0.596,0.0658,0.1266,3
syria_wheat,ssp126,2081-2100,1.65,0.595,-0.0313,0.0589,3
syria_wheat,ssp245,2021-2040,1.12,0.321,-0.0488,0.0834,3
syria_wheat,ssp245,2041-2060,1.924,0.536,-0.1419,0.0666,3
syria_wheat,ssp245,2081-2100,3.093,0.592,-0.0808,0.0958,3
syria_wheat,ssp585,2021-2040,1.122,0.332,-0.0362,0.0618,3
syria_wheat,ssp585,2041-2060,2.466,0.47,-0.06,0.0676,3
syria_wheat,ssp585,2081-2100,5.832,0.976,-0.1147,0.115,3
tunisia_wheat,ssp126,2021-2040,0.925,0.399,-0.1213,0.0598,3
tunisia_wheat,ssp126,2041-2060,1.376,0.581,-0.1699,0.0824,3
tunisia_wheat,ssp126,2081-2100,1.445,0.736,-0.1579,0.0855,3
tunisia_wheat,ssp245,2021-2040,0.995,0.324,-0.1071,0.061,3
tunisia_wheat,ssp245,2041-2060,1.664,0.521,-0.1281,0.1084,3
tunisia_wheat,ssp245,2081-2100,2.693,0.678,-0.1783,0.0998,3
tunisia_wheat,ssp585,2021-2040,0.979,0.345,-0.1214,0.0922,3
tunisia_wheat,ssp585,2041-2060,2.072,0.45,-0.198,0.0851,3
tunisia_wheat,ssp585,2081-2100,5.103,0.828,-0.398,0.1653,3
turkey_wheat,ssp126,2021-2040,0.988,0.242,-0.0352,0.0093,3
