scenario,year,gwl_c
orderly_1_5c,2025,0.3
orderly_1_5c,2026,0.4086
orderly_1_5c,2027,0.5265
orderly_1_5c,2028,0.6397
orderly_1_5c,2029,0.7345
orderly_1_5c,2030,0.797
orderly_1_5c,2031,0.8377
orderly_1_5c,2032,0.8763
orderly_1_5c,2033,0.9128
orderly_1_5c,2034,0.9474
orderly_1_5c,2035,0.9799
orderly_1_5c,2036,1.0104
orderly_1_5c,2037,1.039
orderly_1_5c,2038,1.0657
orderly_1_5c,2039,1.0904
orderly_1_5c,2040,1.1133
orderly_1_5c,2041,1.1343
orderly_1_5c,2042,1.1535
orderly_1_5c,2043,1.1708
orderly_1_5c,2044,1.1863
orderly_1_5c,2045,1.2001
orderly_1_5c,2046,1.2121
orderly_1_5c,2047,1.2223
orderly_1_5c,2048,1.2309
orderly_1_5c,2049,1.2378
orderly_1_5c,2050,1.243
orderly_1_5c,2051,1.2473
orderly_1_5c,2052,1.2514
orderly_1_5c,2053,1.2554
orderly_1_5c,2054,1.2592
orderly_1_5c,2055,1.2628
orderly_1_5c,2056,1.2663
orderly_1_5c,2057,1.2696
orderly_1_5c,2058,1.2728
orderly_1_5c,2059,1.2758
orderly_1_5c,2060,1.2787
orderly_1_5c,2061,1.2815
orderly_1_5c,2062,1.2842
orderly_1_5c,2063,1.2867
orderly_1_5c,2064,1.2892
orderly_1_5c,2065,1.2915
orderly_1_5c,2066,1.2937
orderly_1_5c,2067,1.2959
orderly_1_5c,2068,1.2979
orderly_1_5c,2069,1.2999
orderly_1_5c,2070,1.3017
orderly_1_5c,2071,1.3036
orderly_1_5c,2072,1.3053
orderly_1_5c,2073,1.307
orderly_1_5c,2074,1.3086
orderly_1_5c,2075,1.3102
orderly_1_5c,2076,1.3117
orderly_1_5c,2077,1.3132
orderly_1_5c,2078,1.3147
orderly_1_5c,2079,1.3161
orderly_1_5c,2080,1.3175
orderly_1_5c,2081,1.3189
orderly_1_5c,2082,1.3203
orderly_1_5c,2083,1.3216
orderly_1_5c,2084,1.323
orderly_1_5c,2085,1.3244
orderly_1_5c,2086,1.3257
orderly_1_5c,2087,1.3271
orderly_1_5c,2088,1.3285
orderly_1_5c,2089,1.33
orderly_1_5c,2090,1.3314
orderly_1_5c,2091,1.3329
orderly_1_5c,2092,1.3345
orderly_1_5c,2093,1.3361
orderly_1_5c,2094,1.3377
orderly_1_5c,2095,1.3394
orderly_1_5c,2096,1.3412
orderly_1_5c,2097,1.343
orderly_1_5c,2098,1.3449
orderly_1_5c,2099,1.3469
orderly_1_5c,2100,1.349
disorderly_2c,2025,0.3
disorderly_2c,2026,0.4169
disorderly_2c,2027,0.5419
disorderly_2c,2028,0.6628
disorderly_2c,2029,0.7676
disorderly_2c,2030,0.844
disorderly_2c,2031,0.9003
disorderly_2c,2032,0.953
disorderly_2c,2033,1.0022
disorderly_2c,2034,1.0482
disorderly_2c,2035,1.0913
disorderly_2c,2036,1.1316
disorderly_2c,2037,1.1693
disorderly_2c,2038,1.2047
disorderly_2c,2039,1.238
disorderly_2c,2040,1.2695
disorderly_2c,2041,1.2993
disorderly_2c,2042,1.3277
disorderly_2c,2043,1.3548
disorderly_2c,2044,1.381
disorderly_2c,2045,1.4065
disorderly_2c,2046,1.4314
disorderly_2c,2047,1.4559
disorderly_2c,2048,1.4804
disorderly_2c,2049,1.505
disorderly_2c,2050,1.53
disorderly_2c,2051,1.555
disorderly_2c,2052,1.5794
disorderly_2c,2053,1.6034
disorderly_2c,2054,1.6268
disorderly_2c,2055,1.6498
disorderly_2c,2056,1.6724
disorderly_2c,2057,1.6945
disorderly_2c,2058,1.7163
disorderly_2c,2059,1.7376
disorderly_2c,2060,1.7585
disorderly_2c,2061,1.7791
disorderly_2c,2062,1.7993
disorderly_2c,2063,1.8192
disorderly_2c,2064,1.8387
disorderly_2c,2065,1.858
disorderly_2c,2066,1.8769
disorderly_2c,2067,1.8956
disorderly_2c,2068,1.914
disorderly_2c,2069,1.9322
disorderly_2c,2070,1.9502
disorderly_2c,2071,1.9679
disorderly_2c,2072,1.9855
disorderly_2c,2073,2.0028
disorderly_2c,2074,2.0201
disorderly_2c,2075,2.0371
disorderly_2c,2076,2.0541
disorderly_2c,2077,2.0709
disorderly_2c,2078,2.0876
disorderly_2c,2079,2.1042
disorderly_2c,2080,2.1208
