country_iso2,intensity_tco2e_per_meur,gdp_year,source
AT,154.2,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
AU,285.9,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
BE,181.8,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
BG,339.4,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
BR,151.8,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
CA,312.6,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
CH,58.7,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
CN,420.9,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
CZ,277.3,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
DE,171.7,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
DK,95.0,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
EE,293.9,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
ES,144.4,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
FI,160.8,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
FR,109.9,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
GB,120.0,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
GR,220.1,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
HR,172.1,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
HU,157.1,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
ID,210.6,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
IE,119.0,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
IN,270.2,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
IT,159.5,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
JP,216.3,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
KR,281.7,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
LT,151.6,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
LU,201.4,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
LV,129.2,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
MX,228.8,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
NL,144.7,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
NO,84.6,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
PL,255.9,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
PT,137.6,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
RO,144.6,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
RU,483.0,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
SA,396.6,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
SE,75.8,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
SI,183.1,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
SK,209.8,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
TR,183.3,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
US,260.5,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
ZA,560.2,2022,"OWID (Global Carbon Project CO2 ÷ GDP, PPP int-$)"
