basin,year,month,fill_ratio,stored_hm3,capacity_hm3
Cantábrico Occidental,1988,1,0.7928,1687.0,2128.0
Cantábrico Occidental,1988,2,0.8473,1803.0,2128.0
Cantábrico Occidental,1988,3,0.7805,2076.0,2660.0
Cantábrico Occidental,1988,4,0.8369,1781.0,2128.0
Cantábrico Occidental,1988,5,0.9338,2484.0,2660.0
Cantábrico Occidental,1988,6,0.9131,1943.0,2128.0
Cantábrico Occidental,1988,7,0.8181,1741.0,2128.0
Cantábrico Occidental,1988,8,0.682,1814.0,2660.0
Cantábrico Occidental,1988,9,0.5869,1249.0,2128.0
Cantábrico Occidental,1988,10,0.5752,1224.0,2128.0
Cantábrico Occidental,1988,11,0.4903,1314.0,2680.0
Cantábrico Occidental,1988,12,0.4473,959.0,2144.0
Cantábrico Occidental,1989,1,0.4504,1207.0,2680.0
Cantábrico Occidental,1989,2,0.4333,929.0,2144.0
Cantábrico Occidental,1989,3,0.6432,1379.0,2144.0
Cantábrico Occidental,1989,4,0.6702,1437.0,2144.0
Cantábrico Occidental,1989,5,0.7164,1920.0,2680.0
Cantábrico Occidental,1989,6,0.7542,1617.0,2144.0
Cantábrico Occidental,1989,7,0.7127,1528.0,2144.0
Cantábrico Occidental,1989,8,0.6545,1754.0,2680.0
Cantábrico Occidental,1989,9,0.5965,1279.0,2144.0
Cantábrico Occidental,1989,10,0.5369,1439.0,2680.0
Cantábrico Occidental,1989,11,0.541,1160.0,2144.0
Cantábrico Occidental,1989,12,0.6441,1381.0,2144.0
Cantábrico Occidental,1990,1,0.7616,2041.0,2680.0
Cantábrico Occidental,1990,2,0.8479,1818.0,2144.0
Cantábrico Occidental,1990,3,0.7785,1669.0,2144.0
Cantábrico Occidental,1990,4,0.7864,1686.0,2144.0
Cantábrico Occidental,1990,5,0.8731,2340.0,2680.0
Cantábrico Occidental,1990,6,0.8671,1859.0,2144.0
Cantábrico Occidental,1990,7,0.8097,2170.0,2680.0
Cantábrico Occidental,1990,8,0.7519,1612.0,2144.0
Cantábrico Occidental,1990,9,0.6796,1457.0,2144.0
Cantábrico Occidental,1990,10,0.6186,1669.0,2698.0
Cantábrico Occidental,1990,11,0.6399,1395.0,2180.0
Cantábrico Occidental,1990,12,0.6702,1461.0,2180.0
Cantábrico Occidental,1991,1,0.857,2320.0,2707.0
Cantábrico Occidental,1991,2,0.8461,1814.0,2144.0
Cantábrico Occidental,1991,3,0.8937,1916.0,2144.0
Cantábrico Occidental,1991,4,0.8802,2359.0,2680.0
Cantábrico Occidental,1991,5,0.9142,1960.0,2144.0
Cantábrico Occidental,1991,6,0.938,2011.0,2144.0
Cantábrico Occidental,1991,7,0.8776,2352.0,2680.0
Cantábrico Occidental,1991,8,0.834,1788.0,2144.0
Cantábrico Occidental,1991,9,0.7593,1628.0,2144.0
Cantábrico Occidental,1991,10,0.6758,1849.0,2736.0
Cantábrico Occidental,1991,11,0.6964,1532.0,2200.0
Cantábrico Occidental,1991,12,0.7331,2016.0,2750.0
Cantábrico Occidental,1992,1,0.6686,1471.0,2200.0
Cantábrico Occidental,1992,2,0.6227,1370.0,2200.0
Cantábrico Occidental,1992,3,0.5982,1645.0,2750.0
Cantábrico Occidental,1992,4,0.8677,1909.0,2200.0
Cantábrico Occidental,1992,5,0.9277,2041.0,2200.0
Cantábrico Occidental,1992,6,0.9305,2559.0,2750.0
Cantábrico Occidental,1992,7,0.8818,1940.0,2200.0
Cantábrico Occidental,1992,8,0.8373,1842.0,2200.0
Cantábrico Occidental,1992,9,0.7869,2164.0,2750.0
Cantábrico Occidental,1992,10,0.7318,1610.0,2200.0
Cantábrico Occidental,1992,11,0.795,1749.0,2200.0
Cantábrico Occidental,1992,12,0.8375,2303.0,2750.0
Cantábrico Occidental,1993,1,0.7541,1659.0,2200.0
Cantábrico Occidental,1993,2,0.7041,1549.0,2200.0
Cantábrico Occidental,1993,3,0.6727,1850.0,2750.0
Cantábrico Occidental,1993,4,0.7595,1671.0,2200.0
Cantábrico Occidental,1993,5,0.9073,1996.0,2200.0
Cantábrico Occidental,1993,6,0.9324,2564.0,2750.0
Cantábrico Occidental,1993,7,0.925,2035.0,2200.0
Cantábrico Occidental,1993,8,0.8415,2314.0,2750.0
Cantábrico Occidental,1993,9,0.7518,1654.0,2200.0
Cantábrico Occidental,1993,10,0.7623,1677.0,2200.0
Cantábrico Occidental,1993,11,0.6825,1877.0,2750.0
Cantábrico Occidental,1993,12,0.7432,1635.0,2200.0
Cantábrico Occidental,1994,1,0.8709,1916.0,2200.0
Cantábrico Occidental,1994,2,0.8132,1789.0,2200.0
Cantábrico Occidental,1994,3,0.7625,2097.0,2750.0
Cantábrico Occidental,1994,4,0.7682,1690.0,2200.0
Cantábrico Occidental,1994,5,0.8218,2260.0,2750.0
Cantábrico Occidental,1994,6,0.8686,1911.0,2200.0
Cantábrico Occidental,1994,7,0.8264,1818.0,2200.0
Cantábrico Occidental,1994,8,0.7473,2055.0,2750.0
Cantábrico Occidental,1994,9,0.655,1441.0,2200.0
Cantábrico Occidental,1994,10,0.6018,1324.0,2200.0
Cantábrico Occidental,1994,11,0.5905,1624.0,2750.0
Cantábrico Occidental,1994,12,0.6032,1327.0,2200.0
Cantábrico Occidental,1995,1,0.8044,2212.0,2750.0
Cantábrico Occidental,1995,2,0.845,1859.0,2200.0
Cantábrico Occidental,1995,3,0.8709,1916.0,2200.0
Cantábrico Occidental,1995,4,0.7959,1751.0,2200.0
Cantábrico Occidental,1995,5,0.8075,2223.0,2753.0
Cantábrico Occidental,1995,6,0.8123,1787.0,2200.0
Cantábrico Occidental,1995,7,0.7795,1715.0,2200.0
Cantábrico Occidental,1995,8,0.7287,2004.0,2750.0
Cantábrico Occidental,1995,9,0.67,1474.0,2200.0
Cantábrico Occidental,1995,10,0.6345,1745.0,2750.0
Cantábrico Occidental,1995,11,0.6423,1413.0,2200.0
Cantábrico Occidental,1995,12,0.7905,1739.0,2200.0
Cantábrico Occidental,1996,1,0.8436,2320.0,2750.0
Cantábrico Occidental,1996,2,0.7827,1722.0,2200.0
Cantábrico Occidental,1996,3,0.8043,1767.0,2197.0
Cantábrico Occidental,1996,4,0.8663,2378.0,2745.0
Cantábrico Occidental,1996,5,0.9003,1977.0,2196.0
Cantábrico Occidental,1996,6,0.9148,2009.0,2196.0
Cantábrico Occidental,1996,7,0.8761,2405.0,2745.0
Cantábrico Occidental,1996,8,0.8165,1793.0,2196.0
Cantábrico Occidental,1996,9,0.7295,1602.0,2196.0
Cantábrico Occidental,1996,10,0.6339,1740.0,2745.0
Cantábrico Occidental,1996,11,0.6275,1378.0,2196.0
Cantábrico Occidental,1996,12,0.8113,2227.0,2745.0
Cantábrico Occidental,1997,1,0.8397,1844.0,2196.0
Cantábrico Occidental,1997,2,0.8147,1789.0,2196.0
Cantábrico Occidental,1997,3,0.8083,1775.0,2196.0
Cantábrico Occidental,1997,4,0.7625,2093.0,2745.0
Cantábrico Occidental,1997,5,0.7637,1677.0,2196.0
Cantábrico Occidental,1997,6,0.816,1792.0,2196.0
Cantábrico Occidental,1997,7,0.7872,2161.0,2745.0
Cantábrico Occidental,1997,8,0.5615,1233.0,2196.0
Cantábrico Occidental,1997,9,0.5005,1374.0,2745.0
Cantábrico Occidental,1997,10,0.4722,1037.0,2196.0
Cantábrico Occidental,1997,11,0.6321,1388.0,2196.0
Cantábrico Occidental,1997,12,0.8474,2326.0,2745.0
Cantábrico Occidental,1998,1,0.847,1860.0,2196.0
Cantábrico Occidental,1998,2,0.8288,1820.0,2196.0
Cantábrico Occidental,1998,3,0.8321,2284.0,2745.0
Cantábrico Occidental,1998,4,0.8752,1922.0,2196.0
Cantábrico Occidental,1998,5,0.9026,1982.0,2196.0
Cantábrico Occidental,1998,6,0.8998,2470.0,2745.0
Cantábrico Occidental,1998,7,0.8948,1965.0,2196.0
Cantábrico Occidental,1998,8,0.8238,1809.0,2196.0
Cantábrico Occidental,1998,9,0.7297,2003.0,2745.0
Cantábrico Occidental,1998,10,0.6762,1485.0,2196.0
Cantábrico Occidental,1998,11,0.5902,1296.0,2196.0
Cantábrico Occidental,1998,12,0.5421,1488.0,2745.0
Cantábrico Occidental,1999,1,0.5774,1268.0,2196.0
Cantábrico Occidental,1999,2,0.6758,1484.0,2196.0
Cantábrico Occidental,1999,3,0.7628,2094.0,2745.0
Cantábrico Occidental,1999,4,0.8169,1794.0,2196.0
Cantábrico Occidental,1999,5,0.806,1770.0,2196.0
Cantábrico Occidental,1999,6,0.5472,1502.0,2745.0
Cantábrico Occidental,1999,7,0.4162,914.0,2196.0
Cantábrico Occidental,1999,8,0.4047,1111.0,2745.0
Cantábrico Occidental,1999,9,0.3862,848.0,2196.0
Cantábrico Occidental,1999,10,0.4135,908.0,2196.0
Cantábrico Occidental,1999,11,0.6801,1867.0,2745.0
Cantábrico Occidental,1999,12,0.7505,1648.0,2196.0
Cantábrico Occidental,2000,1,0.7113,1562.0,2196.0
Cantábrico Occidental,2000,2,0.6288,1726.0,2745.0
Cantábrico Occidental,2000,3,0.5993,1316.0,2196.0
Cantábrico Occidental,2000,4,0.7341,1612.0,2196.0
Cantábrico Occidental,2000,5,0.8106,2225.0,2745.0
Cantábrico Occidental,2000,6,0.6794,1492.0,2196.0
Cantábrico Occidental,2000,7,0.6079,1335.0,2196.0
Cantábrico Occidental,2000,8,0.6095,1673.0,2745.0
Cantábrico Occidental,2000,9,0.5697,1251.0,2196.0
Cantábrico Occidental,2000,10,0.5705,1566.0,2745.0
Cantábrico Occidental,2000,11,0.7951,1746.0,2196.0
Cantábrico Occidental,2000,12,0.8393,1843.0,2196.0
Cantábrico Occidental,2001,1,0.863,2369.0,2745.0
Cantábrico Occidental,2001,2,0.8538,1875.0,2196.0
Cantábrico Occidental,2001,3,0.8939,1963.0,2196.0
Cantábrico Occidental,2001,4,0.8689,1908.0,2196.0
Cantábrico Occidental,2001,5,0.8776,2409.0,2745.0
Cantábrico Occidental,2001,6,0.857,1882.0,2196.0
Cantábrico Occidental,2001,7,0.8102,2224.0,2745.0
Cantábrico Occidental,2001,8,0.7145,1569.0,2196.0
Cantábrico Occidental,2001,9,0.633,1390.0,2196.0
Cantábrico Occidental,2001,10,0.5275,1448.0,2745.0
Cantábrico Occidental,2001,11,0.495,1087.0,2196.0
Cantábrico Occidental,2001,12,0.5,1098.0,2196.0
Cantábrico Occidental,2002,1,0.4379,1202.0,2745.0
Cantábrico Occidental,2002,2,0.5642,1239.0,2196.0
Cantábrico Occidental,2002,3,0.7127,1565.0,2196.0
Cantábrico Occidental,2002,4,0.784,2152.0,2745.0
Cantábrico Occidental,2002,5,0.8037,1765.0,2196.0
Cantábrico Occidental,2002,6,0.8397,1844.0,2196.0
Cantábrico Occidental,2002,7,0.8175,2244.0,2745.0
Cantábrico Occidental,2002,8,0.7769,1706.0,2196.0
Cantábrico Occidental,2002,9,0.7719,1695.0,2196.0
Cantábrico Occidental,2002,10,0.7246,1989.0,2745.0
Cantábrico Occidental,2002,11,0.7127,1565.0,2196.0
