name,isin,country,note
SAP SE,DE0007164600,DE,Software
Siemens AG,DE0007236101,DE,Industrials
Allianz SE,DE0008404005,DE,Insurance
BASF SE,DE000BASF111,DE,Chemicals
Bayer AG,DE000BAY0017,DE,Pharma/Chemicals
Deutsche Telekom AG,DE0005557508,DE,Telecom
Volkswagen AG,DE0007664039,DE,Automotive
Mercedes-Benz Group AG,DE0007100000,DE,Automotive
BNP Paribas SA,FR0000131104,FR,Banking
TotalEnergies SE,FR0000120271,FR,Oil & Gas
LVMH,FR0000121014,FR,Consumer luxury
Sanofi SA,FR0000120578,FR,Pharma
L'Oreal SA,FR0000120321,FR,Consumer
Air Liquide SA,FR0000120073,FR,Chemicals/Gases
Schneider Electric SE,FR0000121972,FR,Industrials
AXA SA,FR0000120628,FR,Insurance
ING Groep NV,NL0011821202,NL,Banking
ASML Holding NV,NL0010273215,NL,Semiconductors
Airbus SE,NL0000235190,NL,Aerospace
Iberdrola SA,ES0144580Y14,ES,Utilities
Banco Santander SA,ES0113900J37,ES,Banking
Industria de Diseno Textil SA (Inditex),ES0148396007,ES,Retail
Enel SpA,IT0003128367,IT,Utilities
Intesa Sanpaolo SpA,IT0000072618,IT,Banking
Anheuser-Busch InBev SA,BE0974293251,BE,Beverages
Nokia Oyj,FI0009000681,FI,Telecom equipment
